customer_id,customer_key
1,1102
2,1435
3,1348
4,1270
5,1106
6,1071
7,1188
8,1020
9,1121
10,1466
11,1214
12,1458
13,1372
14,1359
15,1151
16,1130
17,1308
18,1257
19,1343
20,1491
21,1413
22,1385
23,1191
24,1443
25,1276
26,1160
27,1459
28,1021
29,1252
30,1235
31,1344
32,1048
33,1474
34,1058
35,1475
36,1187
37,1189
38,1174
39,1445
40,1363
41,1319
42,1484
43,1306
44,1134
45,1328
46,1166
47,1273
48,1387
49,1088
50,1013
51,1241
52,1264
53,1345
54,1052
55,1339
56,1091
57,1366
58,1454
59,1263
60,1430
61,1205
62,1419
63,1001
64,1389
65,1105
66,1259
67,1309
68,1476
69,1401
70,1217
71,1043
72,1161
73,1201
74,1483
75,1269
76,1350
77,1303
78,1455
79,1461
80,1251
81,1295
82,1212
83,1207
84,1236
85,1337
86,1279
87,1409
88,1379
89,1040
90,1156
91,1014
92,1300
93,1064
94,1326
95,1135
96,1471
97,1062
98,1138
99,1498
100,1391
101,1162
102,1418
103,1378
104,1489
105,1230
106,1027
107,1200
108,1327
109,1267
110,1417
111,1032
112,1047
113,1406
114,1061
115,1215
116,1292
117,1171
118,1213
119,1448
120,1226
121,1100
122,1256
123,1254
124,1397
125,1358
126,1282
127,1392
128,1206
129,1041
130,1178
131,1351
132,1240
133,1051
134,1095
135,1221
136,1142
137,1035
138,1012
139,1159
140,1186
141,1242
142,1085
143,1283
144,1065
145,1169
146,1044
147,1107
148,1285
149,1330
150,1127
151,1347
152,1472
153,1224
154,1384
155,1120
156,1115
157,1460
158,1232
159,1258
160,1197
161,1410
162,1136
163,1317
164,1164
165,1233
166,1462
167,1314
168,1373
169,1179
170,1496
171,1441
172,1112
173,1439
174,1080
175,1129
176,1053
177,1342
178,1223
179,1402
180,1125
181,1415
182,1246
183,1323
184,1438
185,1202
186,1183
187,1122
188,1400
189,1293
190,1324
191,1371
192,1097
193,1469
194,1394
195,1239
196,1096
197,1123
198,1325
199,1463
200,1147
201,1450
202,1146
203,1307
204,1488
205,1416
206,1423
207,1038
208,1128
209,1440
210,1433
211,1150
212,1414
213,1098
214,1262
215,1143
216,1111
217,1499
218,1059
219,1368
220,1253
221,1139
222,1036
223,1008
224,1407
225,1074
226,1421
227,1103
228,1152
229,1383
230,1365
231,1444
232,1168
233,1067
234,1288
235,1403
236,1194
237,1175
238,1442
239,1370
240,1374
241,1237
242,1157
243,1037
244,1364
245,1050
246,1437
247,1026
248,1225
249,1447
250,1480
251,1452
252,1316
253,1003
254,1034
255,1016
256,1219
257,1045
258,1301
259,1180
260,1190
261,1468
262,1255
263,1322
264,1017
265,1280
266,1222
267,1057
268,1173
269,1113
270,1287
271,1341
272,1126
273,1154
274,1473
275,1298
276,1245
277,1025
278,1305
279,1390
280,1312
281,1172
282,1019
283,1320
284,1399
285,1141
286,1470
287,1321
288,1446
289,1124
290,1149
291,1313
292,1304
293,1490
294,1004
295,1195
296,1261
297,1479
298,1349
299,1046
300,1354
301,1310
302,1369
303,1144
304,1119
305,1318
306,1274
307,1228
308,1116
309,1278
310,1000
311,1238
312,1289
313,1117
314,1487
315,1271
316,1486
317,1068
318,1277
319,1153
320,1434
321,1184
322,1284
323,1203
324,1340
325,1099
326,1022
327,1249
328,1492
329,1015
330,1335
331,1395
332,1177
333,1426
334,1167
335,1329
336,1042
337,1336
338,1089
339,1092
340,1114
341,1104
342,1412
343,1375
344,1216
345,1248
346,1163
347,1393
348,1456
349,1176
350,1495
351,1465
352,1182
353,1360
354,1272
355,1367
356,1396
357,1075
358,1338
359,1024
360,1056
361,1108
362,1422
363,1132
364,1220
365,1234
366,1145
367,1229
368,1006
369,1140
370,1193
371,1028
372,1131
373,1291
374,1069
375,1181
376,1018
377,1386
378,1311
379,1302
380,1357
381,1007
382,1185
383,1315
384,1356
385,1227
386,1081
387,1196
388,1408
389,1449
390,1009
391,1250
392,1118
393,1266
394,1404
395,1005
396,1464
397,1436
398,1457
399,1082
400,1084
401,1204
402,1033
403,1094
404,1477
405,1334
406,1346
407,1481
408,1165
409,1029
410,1137
411,1110
412,1060
413,1432
414,1077
415,1072
416,1281
417,1055
418,1002
419,1362
420,1299
421,1211
422,1066
423,1424
424,1376
425,1039
426,1133
427,1093
428,1381
429,1355
430,1083
431,1398
432,1333
433,1482
434,1405
435,1290
436,1294
437,1352
438,1494
439,1158
440,1260
441,1331
442,1010
443,1199
444,1170
445,1377
446,1296
447,1109
448,1054
449,1243
450,1031
451,1428
452,1086
453,1087
454,1431
455,1380
456,1427
457,1493
458,1208
459,1485
460,1361
461,1063
462,1148
463,1497
464,1101
465,1353
466,1011
467,1079
468,1478
469,1198
470,1425
471,1268
472,1388
473,1192
474,1451
475,1453
476,1030
477,1076
478,1073
479,1411
480,1078
481,1429
482,1049
483,1382
484,1210
485,1297
486,1265
487,1275
488,1420
489,1155
490,1244
491,1231
492,1286
493,1467
494,1247
495,1218
496,1332
497,1023
498,1070
499,1209
500,1090
